Kod 	Klartext
93941 	Ependymom, myxopapillärt (C72.0)
94003 	Astrocytom (lågmalignt, gr I-II)
94013 	Astrocytom, anaplastiskt (högmalignt gr III-IV)
94113 	Astrocytom, gemistocytiskt
94121 	Astrocytom, desmoplastiskt infantilt
94130 	Neuroepitelial tumör, dysembryoplastisk
94203 	Astrocytom fibrillärt
94211 	Astrocytom, pilocytiskt
94213 	Astrocytom, juvenilt (grad 0-1)
94223 	Spongioblastom (grad 0-1)
94233 	Spongioblastom
94243 	Pleomorft xanthoastrocytom
94401 	Misstänkt giobastoma multiforme
94403 	Glioblastom UNS
92431 	Kondrosarkom, dedifferentierat, misstänkt
92511 	Jättecellstumör i mjukvävnad, malign misstänky
93611 	Pineocytom
93921 	Ependymom, anaplastiskt (gr III-IV), misstänkt
94011 	Misstäkt anaplastiskt astrocytom
94253 	Astrocytom, pilomyxoitt
93953 	Papillär tumör i pinealregionen (C75.3)
94311 	Angiocentric glioma
94321 	Pituicytoma
94413 	Glioblastom, jättecells-
94421 	Misstänkt gliosarkom
94423 	Gliosarkom
94501 	Misstänkt oligodendrogliom
94503 	Oligodendrogliom UNS
94513 	Oligodendrogliom, anaplastiskt
94601 	Misstänkt oligodendroblastom, malignt
94603 	Oligodendroblastom
94701 	Misstänkt medulloblastom
94703 	Medulloblastom, UNS
94713 	Medulloblastom, desmoplastiskt nodulärt
94723 	Medullomyoblastom
94731 	Misstänkt primitiv neuroektodermal tumör (PNET)
94733 	Primitiv neuroektodermal tumör (PNET)
94743 	Medulloblastom, storcelligt
94900 	Ganglioneurom
94901 	Misstänkt ganglioneuroblastom
94903 	Ganglioneuroblastom
94920 	Gangliocytom
94930 	Gangliocytom dysplastiskt i cerebellum (C71.6)
95001 	Misstänkt neuroblastom
95003 	Neuroblastom
95013 	Medulloepiteliom
95023 	Medulloepiteliom, teratoitt
95033 	Neuroepiteliom
95051 	Gangliogliom UNS
95053 	Gangliogliom, anaplastiskt
95061 	Neurocytom, centralt
95083 	Teratoid/rhabdoid tumör, atypisk
95103 	Retinoblastom (främst hos barn) (C69.2)
95111 	Misstänkt retinoblastom
95113 	Retinoblastom, differentierat (C69.2)
95123 	Retinoblastom, odifferentierat (C69.2)
95133 	Retinoblastom, diffust (C69.2)
95141 	Retinoblastom i spontan regress
95203 	Olfaktorisk neurogen tumör (C72.2)
95213 	Läplig text, tack!
95223 	Olfaktoriskt neuroblastom (C72.2)
95233 	Estesioneuroepiteliom
95300 	Meningiom UNS
95301 	Meningiomatosis
95303 	Meningiom, malignt
95310 	Meningiom, meningioteliomatöst
95320 	Meningiom, fibröst
95330 	Meningiom, psammomatöst
95340 	Meningiom, angiomatöst
95350 	Meningiom, angioblastiskt
95370 	meningiom, blandat
95381 	Meningiom, klarcelligt
95383 	Meningiom, papillärt
95391 	Meningiom, atypiskt
95393 	Sarkomatos, meningeal
95400 	Neurofibrom
95401 	Neurofibromatos
95403 	Epiteloid MPNST
95091 	Papillary glioneuronal tumor
95500 	Plexiformt neurofibrom
95600 	Acusticusneurinom (C72.4)
95601 	Neurinom, osäkert om malignt
95603 	Neurilemom, malignt
95613 	Malign perifer nervskidetumör med rhabdomyoblastisk differentiering
95713 	Perineuriom, malign
