Kod 	Klartext
95133 	"Retinoblastom, diffust (C69.2)"
95141 	"Retinoblastom i spontan regress"
95203 	"Olfaktorisk neurogen tumör (C72.2)"
95213 	"Estesioneurocytom"
95223 	"Estesioneuroblastom"
95330 	"Psammomatöst meningiom"
95350 	"Angioblastiskt meningiom"
95400 	"Neurofibrom"
95401 	"Misstänkt neurofibrosarkom"
95403 	"Neurofibrosarkom"
95600 	"Acusticus-neurinom, Schwannom"
95601 	"Neurinom, osäkert om malignt"
95603 	"Neurinom malignt, Schwannom malignt"
95801 	"Misstänkt granularcellstumör, malign"
95803 	"Granularcellstumör, malign"
95811 	"Misstänkt alveolärt mjukdelssarkom"
95813 	"Alveolärt mjukdelssarkom"
95901 	"Misstänkt malignt lymfom UNS"
959015 	"Misstänkt T-cellslymfom"
95903 	"Malignt lymfom UNS"
959035 	"T-cells lymfom UNS"
95500 	"Plexiformt neurocytom/hamartom"
95381 	"Meningiom, klarcelligt"
95383 	"Meningiom, papillärt"
95391 	"Meningiom, atypiskt"
95393 	"Sarkomatos, meningeal"
95613 	"Malign perifer nervskidetumör med rhabdomyoblastisk differentiering"
95713 	"Perineuriom, malign"
959036 	"B-cells lymfom UNS"
95911 	"Misstänkt malignt lymfom, non-Hodgkin UNS"
95913 	"Non-Hodgkin lymfom UNS"
95923 	"Lymfosarkom"
96003 	"B-cellslymfom, låg/högmalignt"
96013 	"B-lymfoblastlymfom"
96023 	"Perifera lymfom"
96033 	"Lymfocytisk lymfom av B-cellstyp"
96043 	"Kronisk lymfatisk leukemi av B-cellstyp"
96063 	"prolymfocytleukemi av B-cellstyp"
96073 	"Mantelcellslymfom"
96083 	"Follikulärt follikelcenterlymfom"
96123 	"Provisorisk subtyp. Diffust småcelligt follikelcenterlymfom"
96133 	"Extranodalt (Malt-lymfom). Marginalcellslymfom"
96143 	"CB/CC follicular and diffuse"
96153 	"Hårcellsleukemi"
959131 	"Småcelligt/indolent NHL"
959133 	"Blastiskt/aggressivt NHL"
959135 	"T-cellslymfom UNS"
959136 	"B-cellslymfom UNS"
96163 	"Diffust storcelligt B-cellslymfom"
96253 	"Burkitt-likt högmalignt B-cellslymfom"
96263 	"T-cellslymfom.Låg/högmalignt"
96273 	"T-lymfoblastlymfom"
96283 	"Prolymfocytleukemi av T-cellstyp"
96293 	"Kronisk lymfatisk leukemi av T-cellstyp"
96303 	"Storcellig granulerad lymfatisk leukemi"
96313 	"Mycosis fungoides/Sezarys syndrom"
96333 	"Subkutant pannikulitiskt T-cellslymfom"
96343 	"Hepatosplenisk (gamma-delta) T-cellslymfom"
96353 	"Intestinalt T-cellslymfom"
96363 	"Adult T-cellslymfom alt Adult T-cellsleukemi"
96373 	"Anaplastisk storcelligt lymfom"
96383 	"Hodgkin-likt anaplastiskt storcelligt lymfom"
